Address,Price per month €,Beds,Capacity,Link
"Clonard Lawn, Dublin",2391.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Clonard-Lawn/4646589
"Clonard Lawn, Sandyford, Dublin 18",2391.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-clonard-lawn-sandyford-dublin-18/3203407
"Clonard Lawn, Sandyford, Dublin 18",2391.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Clonard-Lawn-Sandyford-Dublin-18/4646589/
"7 Archerswood, Clonee, Clonee, Dublin 15",2400.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/7-Archerswood-Clonee-Clonee-Dublin-15/5263128/
"7 Archers Wood, Clonee, Dublin 15",2400.0,4,"4 beds, 3 baths, 137.34m 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/7-archers-wood-clonee-dublin-15/4508857
"7 Archerswood, Clonee, Dublin 15",2400.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-7-archerswood-clonee-dublin-15/3411223
"7 Archerswood, Clonee, Dublin",2400.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/7-Archerswood-Clonee/5263128
"Four Bedroom Home, Bay Meadows , Hollystown, Hollystown, Dublin 15",2450.0,4,"4 bedrooms (3 double, 1 twin), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Four-Bedroom-Home-Bay-Meadows--Hollystown-Hollystown-Dublin-15/4360570/
"Johnsbridge Close, Lucan, County Dublin",2450.0,4,"4 beds, 3 baths, House",https://www.myhome.ie/rentals/brochure/johnsbridge-close-lucan-county-dublin/4429991
"Fieldview Cottages Annaville Avenue, Blackrock, Co. Dublin",2450.0,4,"4 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/fieldview-cottages-annaville-avenue-blackrock-co-dublin/4512098
"2 Field View Cottages, Annaville Avenue, Dublin",2450.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/2-Field-View-Cottages-Annaville-Avenue/5455390
"Bay Meadows, Hollystown, Dublin 15",2450.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-four-bedroom-home-bay-meadows-hollystown-dublin-15/3173141
"2 Field View Cottages, Annaville Avenue, Blackrock, Co. Dublin",2450.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-2-field-view-cottages-annaville-avenue-blackrock-co-dublin/3433157
"2 Field View Cottages, Annaville Avenue, Blackrock, Co. Dublin",2450.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/2-Field-View-Cottages-Annaville-Avenue-Blackrock-Co-Dublin/5455390/
"Four Bedroom Home , Bay Meadows , Hollystown , Hollystown, Dublin 15, Co. Dublin",2450.0,4,"4 bedrooms (3 double, 1 twin), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Four-Bedroom-Home--Bay-Meadows--Hollystown--Hollystown-Dublin-15-Co-Dublin/4360570
"banner house, Rathcoole, Co. Dublin",2500.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-banner-house-rathcoole-co-dublin/3430666
"Mount Ambrose, Toberburr, St Margaret's, Co. Dublin",2500.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-mount-ambrose-toberburr-st-margarets-co-dublin/3284915
"Parklands Avenue, Firhouse, Ballycullen, Dublin 16",2500.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-parklands-avenue-firhouse-ballycullen-dublin-16/3429983
"44 Hunters Walk, Hunters Wood, Ballycullen, Dublin 16",2500.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-44-hunters-walk-hunters-wood-ballycullen-dublin-16/3189971
"44 Hunters Walk, Hunters Wood, Ballycullen, Dublin 16",2500.0,4,"4 bedrooms (4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/44-Hunters-Walk-Hunters-Wood-Ballycullen-Dublin-16/4517339/
"Tullyhall Rise, Lucan, Co. Dublin",2500.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-tullyhall-rise-lucan-co-dublin/3432256
"Shackleton Row, Lucan, West Co. Dublin, Co. Dublin",2500.0,4,"4 beds, 3 baths, ",https://www.myhome.ie/rentals/brochure/shackleton-row-lucan-west-co-dublin-co-dublin/4468433
"Banner House, Rathcoole, Co. Dublin",2500.0,4,"4 bedrooms (4 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Banner-House-Rathcoole-Co-Dublin/5431375/
"Mount Ambrose, Toberburr, Dublin",2500.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms house",https://www.let.ie/property-to-rent/Mount-Ambrose-Toberburr/5227766
"Tullyhall Rise, Lucan, Co. Dublin",2500.0,4,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Tullyhall-Rise-Lucan-Co-Dublin/5446418/
"Mount Ambrose, Toberburr, St Margarets, County Dublin",2500.0,4,"4 beds, 3 baths, 186m 2, , House",https://www.myhome.ie/rentals/brochure/mount-ambrose-toberburr-st-margarets-county-dublin/4508191
"Mount Ambrose, Toberburr, St Margaret's, Co. Dublin",2500.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Mount-Ambrose-Toberburr-St-Margarets-Co-Dublin/5227766/
"Parklands Avenue, Firhouse, Ballycullen, Dublin 16",2500.0,4,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Parklands-Avenue-Firhouse-Ballycullen-Dublin-16/5426126/
"Parklands Avenue, Firhouse, Dublin",2500.0,4,"4 bedrooms (2 single, 2 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/Parklands-Avenue-Firhouse/5426126
"Shelmartin Avenue, Marino, Marino, Dublin 3",2550.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Shelmartin-Avenue-Marino-Marino-Dublin-3/5495941/
"Shelmartin Avenue, Marino, Dublin 3",2550.0,4,"4 beds, 2 baths, , House",https://www.myhome.ie/rentals/brochure/shelmartin-avenue-marino-dublin-3/4512700
"Shelmartin Avenue, Marino, Dublin 3",2550.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-shelmartin-avenue-marino-dublin-3/3437354
"Shelmartin Avenue, Marino, Dublin",2550.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Shelmartin-Avenue-Marino/5495941
"Aulden Grange, Santry, Dublin 9",2585.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-aulden-grange-santry-dublin-9/3280609
"Aulden Grange, Santry, Dublin 9",2585.0,4,"4 bedrooms (4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Aulden-Grange-Santry-Dublin-9/5194922/
"Charlemont, Griffith Avenue, Drumcondra, Dublin 3",2600.0,4,"4 bedrooms (2 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Charlemont-Griffith-Avenue-Drumcondra-Dublin-3/4976569/
"Rathfarnham Road, Rathfarnham, Dublin 14",2600.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Rathfarnham-Road-Rathfarnham-Dublin-14/2094078/
"56 Royston, Kimmage Road West, Kimmage, Dublin 12",2600.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/56-Royston-Kimmage-Road-West-Kimmage-Dublin-12/5395137/
"Rafters Road, Drimnagh, Dublin 12",2600.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/Rafters-Road-Drimnagh-Dublin-12/5431405/
"Apt 8, Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9",2600.0,4,"4 bedrooms (4 single), 4 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apt-8-Shanowen-Hall-1-Shanowen-Hall-Shanowen-Road-Santry-Dublin-9/4776584/
"The Laurels, 15 Oak Avenue, Royal Oak, Dublin",2600.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/The-Laurels-15-Oak-Avenue-Royal-Oak/5490149
"Rathfarnham Road, Dublin",2600.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Rathfarnham-Road/2094078
"56 Royston, Kimmage Road West, Dublin",2600.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/56-Royston-Kimmage-Road-West/5395137
"Rafters Road, Drimnagh, Dublin 12",2600.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-rafters-road-drimnagh-dublin-12/3430707
"Apt 8, Shanowen Hall, 1 Shanowen Hall, Shanowen Road,, Santry, Dublin 9, Co. Dublin",2600.0,4,"4 bedrooms (4 single), 4 bathrooms, furnished apartment",https://www.let.ie/short-term-rental/Apt-8-Shanowen-Hall-1-Shanowen-Hall-Shanowen-Road-Santry-Dublin-9-Co-Dublin/4776584
"56 Royston, Kimmage Road West, Kimmage, Dublin 12",2600.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-56-royston-kimmage-road-west-kimmage-dublin-12/3426751
"Charlemont, Griffith Avenue, Dublin",2600.0,4,"4 bedrooms (2 single, 2 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Charlemont-Griffith-Avenue/4976569
"Rathfarnham Road, Rathfarnham, Dublin 14",2600.0,4,"4 beds, 2 baths, Semi-Detached",https://www.myhome.ie/rentals/brochure/rathfarnham-road-rathfarnham-dublin-14/4463460
"The Laurels, 15 Oak Avenue, Royal Oak, Santry, Dublin 9",2600.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Laurels-15-Oak-Avenue-Royal-Oak-Santry-Dublin-9/5490149/
"56 Royston, Kimmage, Dublin 12",2600.0,4,"4 beds, 3 baths, 102m 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/56-royston-kimmage-dublin-12/4511071
"Rathfarnham Road, Rathfarnham, Dublin 14",2600.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-rathfarnham-road-rathfarnham-dublin-14/2617009
"Shanowen Hall, 1 Shanowen Hall, Shanowen Road, Santry, Dublin 9",2600.0,4,"4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-8-shanowen-hall-1-shanowen-hall-shanowen-road-santry-dublin-9/3217096
"Charlemont, Griffith Avenue, Drumcondra, Dublin 3",2600.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-charlemont-griffith-avenue-drumcondra-dublin-3/3245522
"The Laurels, 15 Oak Avenue, Royal Oak, Santry, Dublin 9",2600.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-the-laurels-15-oak-avenue-royal-oak-santry-dublin-9/3436803
"4 Seafield Downs, Clontarf, Dublin",2700.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, unfurnished house",https://www.let.ie/property-to-rent/4-Seafield-Downs-Clontarf/5476700
"Boroimhe Hawthorns, Swords, Co. Dublin",2700.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Boroimhe-Hawthorns-Swords-Co-Dublin/5306212/
"Boroimhe Hawthorns, Dublin",2700.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished apartment",https://www.let.ie/property-to-rent/Boroimhe-Hawthorns/5306212
"Boroimhe Hawthorns, Swords, Co. Dublin",2700.0,4,"4 Bed, 3 Bath, Apartment",https://www.daft.ie//for-rent/apartment-boroimhe-hawthorns-swords-co-dublin/3416561
"4 Seafield Downs, Clontarf, Clontarf, Dublin 3",2700.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, unfurnished",https://www.rent.ie/houses-to-let/4-Seafield-Downs-Clontarf-Clontarf-Dublin-3/5476700/
"4 Seafield Downs, Clontarf, Dublin 3",2700.0,4,4 beds,https://www.myhome.ie/rentals/brochure/4-seafield-downs-clontarf-dublin-3/4512867
"4 Seafield Downs, Clontarf, Dublin 3",2700.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-4-seafield-downs-clontarf-dublin-3/3435469
"Woodcliff Heights, Dublin",2730.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Woodcliff-Heights/5446408
"Woodcliff Heights, Howth, Dublin 13",2730.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-woodcliff-heights-howth-dublin-13/3432241
"Woodcliff Heights, Howth, Dublin",2730.0,4,"4 beds, 2 baths, 105m 2, , Detached",https://www.myhome.ie/rentals/brochure/woodcliff-heights-howth-dublin/4204342
"Woodcliff Heights, Howth, Dublin 13",2730.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Woodcliff-Heights-Howth-Dublin-13/5446408/
"236A Orwell Park Lawns, Templeogue, Dublin 6W",2785.0,4,"4 Bed, 4 Bath, House",https://www.daft.ie//for-rent/house-236a-orwell-park-lawns-templeogue-dublin-6w/3426797
"236a Orwell Park Lawns, Templeogue, Templeogue, Dublin 6w",2785.0,4,"4 bedrooms (4 double), 4 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/236a-Orwell-Park-Lawns-Templeogue-Templeogue-Dublin-6w/5395160/
"The Villa, Woodley Park House, Stillorgan, Co. Dublin",2800.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Villa-Woodley-Park-House-Stillorgan-Co-Dublin/5426152/
"Pimlico, Dublin 8",2800.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-pimlico-dublin-8/3436028
"Templeogue Wood, Templeogue, Dublin 6W",2800.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-templeogue-wood-templeogue-dublin-6w/3427546
"The Villa, Woodley Park House, Stillorgan, Co. Dublin",2800.0,4,"4 Bed, 3 Bath, House",https://www.daft.ie//for-rent/house-the-villa-woodley-park-house-stillorgan-co-dublin/3430021
"The Villa, Woodley Park House,, Dublin",2800.0,4,"4 bedrooms (1 single, 3 double), 3 bathrooms, furnished house",https://www.let.ie/property-to-rent/The-Villa-Woodley-Park-House/5426152
"Templeogue Wood, Templeogue, Dublin",2800.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/Templeogue-Wood-Templeogue/5401883
"Pimlico, Dublin 8",2800.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Pimlico-Dublin-8/5481512/
"The Villa, Woodley Park House, Stillorgan, Co. Dublin, Stillorgan, County Dublin",2800.0,4,"4 beds, 3 baths, , House",https://www.myhome.ie/rentals/brochure/the-villa-woodley-park-house-stillorgan-co-dublin-stillorgan-county-dublin/4511648
"Pimlico, Dublin",2800.0,4,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/Pimlico/5481512
"Templeogue Wood, Templeogue, Templeogue, Dublin 6w",2800.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Templeogue-Wood-Templeogue-Templeogue-Dublin-6w/5401883/
"Pimlico, South City Centre, Dublin 8",2800.0,4,"4 beds, 1 bath, House",https://www.myhome.ie/rentals/brochure/pimlico-south-city-centre-dublin-8/4511135
"Fosterbrook, Stillorgan Rd, Blackrock, Co. Dublin",2850.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Fosterbrook-Stillorgan-Rd-Blackrock-Co-Dublin/5246473/
"Fosterbrook, Stillorgan Rd, Dublin",2850.0,4,"4 bedrooms (1 single, 3 double), 2 bathrooms, unfurnished house",https://www.let.ie/property-to-rent/Fosterbrook-Stillorgan-Rd/5246473
"Fosterbrook, Stillorgan Rd, Blackrock, Co. Dublin",2850.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-fosterbrook-stillorgan-rd-blackrock-co-dublin/3289694
"5 Maretimo Road, Blackrock, Dublin",2875.0,4,"4 beds, 2 baths, 113.95m 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/5-maretimo-road-blackrock-dublin/4510830
"Chancery Street, Smithfield, Dublin 1",2950.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-chancery-street-smithfield-dublin-1/3211789
"Chancery Street, Smithfield, Dublin 1",2950.0,4,"4 bedrooms (1 single, 2 double, 1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Chancery-Street-Smithfield-Dublin-1/4722345/
"12 Castlebrook, Dundrum, Dublin 14",2956.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/12-Castlebrook-Dundrum-Dublin-14/5456468/
"12 Castlebrook, Dundrum, Dublin 14",2956.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-12-castlebrook-dundrum-dublin-14/3433337
"12 Castlebrook, Dundrum, Dublin 16",2956.0,4,"4 beds, 3 baths, , Semi-Detached",https://www.myhome.ie/rentals/brochure/12-castlebrook-dundrum-dublin-16/4512029
"78 Grosvenor Lodge, Rathmines, Dublin 6",2980.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/78-Grosvenor-Lodge-Rathmines-Dublin-6/5483011/
"78 Grosvenor Lodge, Rathmines, Dublin 6, Co. Dublin",2980.0,4,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished house",https://www.let.ie/property-to-rent/78-Grosvenor-Lodge-Rathmines-Dublin-6-Co-Dublin/5483011
"78 Grosvenor Lodge, Rathmines, Dublin 6",2980.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-78-grosvenor-lodge-rathmines-dublin-6/3436226
"Apt Brunswick Court, Brunswick Street, Stoneybatter, Dublin 7",3000.0,4,"4 bedrooms (4 single), 4 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apt-Brunswick-Court-Brunswick-Street-Stoneybatter-Dublin-7/4417072/
"Apt Brunswick Court, Brunswick Street, Stoneybatter, Dublin 7",3000.0,4,"4 Bed, 4 Bath, Apartment",https://www.daft.ie//for-rent/apartment-apt-brunswick-court-brunswick-street-stoneybatter-dublin-7/3179254
"26 Oaklands Terrace, Terenure, Terenure, Dublin 6",3000.0,4,"4 bedrooms (4 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/26-Oaklands-Terrace-Terenure-Terenure-Dublin-6/5479733/
"1 Archway Court, 39A Mountjoy Street, Dublin 7",3000.0,4,"4 Bed, 2 Bath, House",https://www.daft.ie//for-rent/house-1-archway-court-39a-mountjoy-street-dublin-7/2954076
"1 Archway Court, 39A Mountjoy Street, Dublin 7",3000.0,4,"4 bedrooms (4 single), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/1-Archway-Court-39A-Mountjoy-Street-Dublin-7/4060257/
"26 Oaklands Terrace, Terenure, Dublin 6",3000.0,4,"4 Bed, 1 Bath, House",https://www.daft.ie//for-rent/house-26-oaklands-terrace-terenure-dublin-6/3435864
"26 Oaklands Terrace, Terenure, Dublin",3000.0,4,"4 bedrooms (4 double), 1 bathroom, furnished house",https://www.let.ie/property-to-rent/26-Oaklands-Terrace-Terenure/5479733
"26 Oaklands Terrace Terenure, Rathgar, Dublin 6",3000.0,4,"4 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/26-oaklands-terrace-terenure-rathgar-dublin-6/4512342
