Address,Price per month €,Capacity,Link
"Charleville Square, Rathfarnham, Dublin 14",1729,"2 bedrooms (2 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Charleville-Square-Rathfarnham-Dublin-14/5497290/
"Raglan Road, Ballsbridge, Dublin 4",1900,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Raglan-Road-Ballsbridge-Dublin-4/5497291/
"Greenview, Seabrok Manor, Station Road, Portmarnoc, Portmarnock, Co. Dublin",1950,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Greenview-Seabrok-Manor-Station-Road-Portmarnoc-Portmarnock-Co-Dublin/5497285/
"Apartment 62, Booterstown Wood, Booterstown Avenue, Booterstown, Co. Dublin",2800,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-62-Booterstown-Wood-Booterstown-Avenue-Booterstown-Co-Dublin/5474813/
"15 Furry Park Court, Howth Road, Clontarf, Dublin 3",1750,"2 bedrooms (1 double, 1 twin), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/15-Furry-Park-Court-Howth-Road-Clontarf-Dublin-3/5497272/
"Apt. 16 Chapel Hill, Martins Row, Chapelizod, Dublin 20",2235,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apt-16-Chapel-Hill-Martins-Row-Chapelizod-Dublin-20/5495945/
"257a Richmond Road, Fairview, Dublin 3",1650,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/257a-Richmond-Road-Fairview-Dublin-3/5497260/
"Swift Hall, Dublin 8",2200,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Swift-Hall-Dublin-8/5497254/
"Apartment 55, Adelaide Square, Dublin 8",1810,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-55-Adelaide-Square-Dublin-8/5495906/
"Meadow Grove, Rathfarnham, Dublin 14",2120,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Meadow-Grove-Rathfarnham-Dublin-14/5495890/
"The Island, Chapelizod, Dublin 20",1100,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Island-Chapelizod-Dublin-20/5495880/
"29 Ave Maria Road, Maryland, Dublin 8",1700,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/29-Ave-Maria-Road-Maryland-Dublin-8/5495837/
"The Steelworks, Foley Street, Dublin 1",2100,"2 bedrooms (1 single, 1 twin), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Steelworks-Foley-Street-Dublin-1/5495908/
"The William Bligh, The Gasworks, Barrow Street, Ringsend, Dublin 4",1850,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-William-Bligh-The-Gasworks-Barrow-Street-Ringsend-Dublin-4/5497233/
"Shelmartin Avenue, Marino, Marino, Dublin 3",2550,"4 bedrooms (1 single, 3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Shelmartin-Avenue-Marino-Marino-Dublin-3/5495941/
"Aungier Street, Dublin 2",1950,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Aungier-Street-Dublin-2/5495939/
"Hill Of Down, Spencer Dock, IFSC, Dublin 1",2300,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Hill-Of-Down-Spencer-Dock-IFSC-Dublin-1/5495940/
"8 Cruagh Close Cruagh Manor, Stepaside, Dublin 18",1925,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/8-Cruagh-Close-Cruagh-Manor-Stepaside-Dublin-18/5495902/
"Crosbies Yard, Ossory Road, Dublin 3",2000,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Crosbies-Yard-Ossory-Road-Dublin-3/5495901/
"Fade Street, Dublin 2",2300,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Fade-Street-Dublin-2/5495896/
"2 Lagan House, Custom House Square, IFSC, Dublin 1",1575,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/2-Lagan-House-Custom-House-Square-IFSC-Dublin-1/5494448/
"Apartment 42, Fort Ostman, Old County Road, Crumlin, Dublin 12",1606,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-42-Fort-Ostman-Old-County-Road-Crumlin-Dublin-12/5494447/
"Binn Eadair View, Sutton, Dublin 13",1650,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Binn-Eadair-View-Sutton-Dublin-13/5494444/
"Apartment 3, Grattan Court, Dublin 2",2400,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-3-Grattan-Court-Dublin-2/5494439/
"Apartment 192, Block D, Dublin 1",1557,"1 bedroom (1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-192-Block-D-Dublin-1/5494422/
"Monestary Road, Ballymount, Dublin 12",1300,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Monestary-Road-Ballymount-Dublin-12/5494450/
"Apartment 25, Woodleigh Oak, Highfield Road, Rathgar, Dublin 6",1450,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-25-Woodleigh-Oak-Highfield-Road-Rathgar-Dublin-6/5493236/
"36 Deerpark Square, Kiltipper, Tallaght, Dublin 24",1850,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/36-Deerpark-Square-Kiltipper-Tallaght-Dublin-24/5493227/
"Steelworks, Foley Street, Dublin 1",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Steelworks-Foley-Street-Dublin-1/5478041/
"ST JOHNS TERRACE PIMLICO, Dublin 8",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/ST-JOHNS-TERRACE-PIMLICO-Dublin-8/5494443/
"Apartment 92, The Bay, Dublin 4",1765,"1 bedroom (1 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Apartment-92-The-Bay-Dublin-4/5492178/
"Apartment 1, Xavier Court, 21-25 Sherrard Street Upper, Dublin 1",1675,"1 bedroom (1 double), 1 bathroom, unfurnished",https://www.rent.ie/houses-to-let/Apartment-1-Xavier-Court-21-25-Sherrard-Street-Upper-Dublin-1/5493206/
"Wicklow Court, Dublin 2",1950,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Wicklow-Court-Dublin-2/5494435/
"Lealand Grove, Clondalkin, Clondalkin, Dublin 22",2055,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Lealand-Grove-Clondalkin-Clondalkin-Dublin-22/5492170/
"Apartment 141, Bailey's Court, Dublin 1",1400,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-141-Baileys-Court-Dublin-1/5492164/
"Apartment 50, Bailey\'s Court, Dublin 1",1400,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-50-Baileys-Court-Dublin-1/5493195/
"Birchview Lawn, Tallaght, Dublin 24",1965,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Birchview-Lawn-Tallaght-Dublin-24/5492140/
"0 Ardmore Drive, Artane, Dublin 5",1900,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/0-Ardmore-Drive-Artane-Dublin-5/5490157/
"17 Botanic Hall, Addison Park, Glasnevin, Dublin 11",1233,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/17-Botanic-Hall-Addison-Park-Glasnevin-Dublin-11/5490131/
"Parliament Street, Temple Bar, Dublin 2",1595,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Parliament-Street-Temple-Bar-Dublin-2/5494426/
"Parliament Street, Temple Bar, Dublin 2",1595,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Parliament-Street-Temple-Bar-Dublin-2/5494419/
"Findlater St Lawrence, Harbour Road, Howth, Dublin 13",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Findlater-St-Lawrence-Harbour-Road-Howth-Dublin-13/5494415/
"Heytesbury Street off Camden Street, Dublin 2",1650,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Heytesbury-Street-off-Camden-Street-Dublin-2/5493224/
"Sion Hill Park, Drumcondra, Dublin 3",3850,"5 bedrooms (1 single, 4 double), 4 bathrooms, furnished",https://www.rent.ie/houses-to-let/Sion-Hill-Park-Drumcondra-Dublin-3/5493207/
"The Tramyard, Inchicore, Dublin 8",1925,"3 bedrooms (3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Tramyard-Inchicore-Dublin-8/5493312/
"Apartment 3, The Academy, Park West, Dublin 12",2000,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-3-The-Academy-Park-West-Dublin-12/5493265/
"30 Ballintyre Grove, Ballinteer, Ballinteer, Dublin 16",1800,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/30-Ballintyre-Grove-Ballinteer-Ballinteer-Dublin-16/5493220/
"Apartment 20, Hillcrest House, Rathgar, Dublin 6",1687,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-20-Hillcrest-House-Rathgar-Dublin-6/5493218/
"Tuansgate, Belgard Square East, Tallaght, Dublin 24",1600,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Tuansgate-Belgard-Square-East-Tallaght-Dublin-24/5493213/
"2 The Granary, Temple Lane South, Temple Bar, Dublin 2",1314,studio apartment to rent,https://www.rent.ie/houses-to-let/2-The-Granary-Temple-Lane-South-Temple-Bar-Dublin-2/5493198/
"25b Oakley Road Ranelagh, Ranelagh, Dublin 6",1700,"2 bedrooms (2 double), 1 bath",https://www.rent.ie/houses-to-let/25b-Oakley-Road-Ranelagh-Ranelagh-Dublin-6/5493194/
"North Strand Road, Fairview, Dublin 3",1450,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/North-Strand-Road-Fairview-Dublin-3/5493087/
"The Chantries, Balrothery, Co. Dublin",1000,studio apartment to rent,https://www.rent.ie/houses-to-let/The-Chantries-Balrothery-Co-Dublin/5492426/
"31 Th Dock Mill Barrow Street, Dublin 4",2250,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/31-Th-Dock-Mill-Barrow-Street-Dublin-4/5492184/
"40 Aberdeen Street, Stoneybatter, Dublin 7",1950,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/40-Aberdeen-Street-Stoneybatter-Dublin-7/5492177/
"171 Skellig House, Custom House Square, Dublin 1",1560,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/171-Skellig-House-Custom-House-Square-Dublin-1/5492139/
"The Court, Bettyglen, Watermill Road, Raheny, D.5., Raheny, Dublin 5",1800,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Court-Bettyglen-Watermill-Road-Raheny-D5-Raheny-Dublin-5/5492124/
"Ailesbury Court, Donnybrook, Dublin 4",2379,"2 bedrooms (2 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/Ailesbury-Court-Donnybrook-Dublin-4/5492131/
"2a Woodbine Park, Raheny, Dublin 5",1000,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/2a-Woodbine-Park-Raheny-Dublin-5/5488679/
"Apartment 1, 43 Pembroke Road, Ballsbridge, Dublin 4",1950,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-1-43-Pembroke-Road-Ballsbridge-Dublin-4/5490162/
"Lansdowne Wood, Ballsbridge, Dublin 4",4500,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Lansdowne-Wood-Ballsbridge-Dublin-4/5490166/
"The Dock Mill, Barrow Street, Grand Canal Dock, Dublin 2",2100,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Dock-Mill-Barrow-Street-Grand-Canal-Dock-Dublin-2/5490165/
"Melrose Avenue, Fairview, Dublin 3",650,studio apartment to rent,https://www.rent.ie/houses-to-let/Melrose-Avenue-Fairview-Dublin-3/5490161/
"7a Haymarket, Smithfield, Dublin 1",1600,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/7a-Haymarket-Smithfield-Dublin-1/5490151/
"The Laurels, 15 Oak Avenue, Royal Oak, Santry, Dublin 9",2600,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Laurels-15-Oak-Avenue-Royal-Oak-Santry-Dublin-9/5490149/
"29 Coulson Avenue, Rathgar, Rathgar, Dublin 6",1550,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/29-Coulson-Avenue-Rathgar-Rathgar-Dublin-6/5490139/
"76 Castlefield Hall, Clonsilla, Dublin 15",2400,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/76-Castlefield-Hall-Clonsilla-Dublin-15/5490123/
"Anglesea Road, Ballsbridge, Dublin 4",2200,"2 bedrooms (1 single, 1 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Anglesea-Road-Ballsbridge-Dublin-4/5490112/
"50 Knocklyon Gate, Ballycullen, Dublin 16",1900,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/50-Knocklyon-Gate-Ballycullen-Dublin-16/5490107/
"18 Quartiere Bloom, Ormond Quay Lower, Dublin 1, Dublin 1",2000,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/18-Quartiere-Bloom-Ormond-Quay-Lower-Dublin-1-Dublin-1/5490099/
"The Moorings, Chapelizod, Dublin 20, Chapelizod, Dublin 20",2000,"3 bedrooms (1 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Moorings-Chapelizod-Dublin-20-Chapelizod-Dublin-20/5488708/
"The Pines, Herbert Park Lane, Ballsbridge, Dublin 4",2325,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/The-Pines-Herbert-Park-Lane-Ballsbridge-Dublin-4/5488714/
"Ashfield Park, Terenure, Terenure, Dublin 6",1200,studio apartment to rent,https://www.rent.ie/houses-to-let/Ashfield-Park-Terenure-Terenure-Dublin-6/5488700/
"River Vale, River Road, Ashtown, Dublin 15",1975,"2 bedrooms (2 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/River-Vale-River-Road-Ashtown-Dublin-15/5488699/
"Hollybank Road, Drumcondra, Drumcondra, Dublin 3",3995,"5 bedrooms (5 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Hollybank-Road-Drumcondra-Drumcondra-Dublin-3/5488695/
"150 Howth Road, Dublin 3",2250,"2 bedrooms (2 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/150-Howth-Road-Dublin-3/5488678/
"Ring Street, Inchicore, Dublin 8, Inchicore, Dublin 8",2200,"3 bedrooms (3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Ring-Street-Inchicore-Dublin-8-Inchicore-Dublin-8/5488676/
"Wicklow Court, Dublin 2",1600,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Wicklow-Court-Dublin-2/5487776/
"26 The Chandler Building, Ashtown, Dublin 7",1895,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/26-The-Chandler-Building-Ashtown-Dublin-7/5487770/
"College Court, Kings Inn, Dublin 1",1395,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/College-Court-Kings-Inn-Dublin-1/5488645/
"Flat 5, 50 Grove Park, Rathmines, Dublin 6",1400,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Flat-5-50-Grove-Park-Rathmines-Dublin-6/5488646/
"Aungier Street, Dublin 2",1950,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Aungier-Street-Dublin-2/5488641/
"Windmill Lane Apartments, Dublin 2",1870,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Windmill-Lane-Apartments-Dublin-2/5456503/
"3 Brighton Lodge, Brighton Road , Foxrock, Foxrock, Dublin 18",1768,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/3-Brighton-Lodge-Brighton-Road--Foxrock-Foxrock-Dublin-18/5464090/
"Glenbrian Hall Howth Road, Clontarf, Dublin 3",2000,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Glenbrian-Hall-Howth-Road-Clontarf-Dublin-3/5436835/
"Custom Hall, Dublin 1",2500,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Custom-Hall-Dublin-1/5487777/
"9 Anglesea Mews, Anglesea Road, Ballsbridge, Dublin 4",2380,"2 bedrooms (2 double), 1 bathroom, furnished or unfurnished",https://www.rent.ie/houses-to-let/9-Anglesea-Mews-Anglesea-Road-Ballsbridge-Dublin-4/5487772/
"26 Aran Court, Waterville, Blanchardstown, Dublin 15",1650,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/26-Aran-Court-Waterville-Blanchardstown-Dublin-15/5487765/
"Larchill, Oscar Traynor Road, Santry, Dublin 9",1650,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Larchill-Oscar-Traynor-Road-Santry-Dublin-9/5435763/
"Apartment 20, Hill of Down House, Dublin 1",2190,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-20-Hill-of-Down-House-Dublin-1/5487737/
"Apartment 53, Jervis Place, Dublin 1",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Apartment-53-Jervis-Place-Dublin-1/5487736/
"13 Morrow House, Myrtle Avenue, The Coast, Clongriffin, Dublin 13",1875,"2 bedrooms (2 double), 2 bathrooms, furnished or unfurnished",https://www.rent.ie/houses-to-let/13-Morrow-House-Myrtle-Avenue-The-Coast-Clongriffin-Dublin-13/5487345/
"Castlewood Avenue, Rathmines, Dublin 6",1300,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Castlewood-Avenue-Rathmines-Dublin-6/5486372/
"The Locks, Charlotte Quay Dock, Ringsend, Dublin 4",3200,"3 bedrooms (3 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/The-Locks-Charlotte-Quay-Dock-Ringsend-Dublin-4/5483043/
"52 Hillcrest Park, Lucan, Co. Dublin",1800,"3 bedrooms (1 single, 2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/52-Hillcrest-Park-Lucan-Co-Dublin/5483012/
"78 Grosvenor Lodge, Rathmines, Dublin 6",2980,"4 bedrooms (2 single, 2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/78-Grosvenor-Lodge-Rathmines-Dublin-6/5483011/
"North Great Georges Street, Dublin 1",1450,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/North-Great-Georges-Street-Dublin-1/5483010/
"Joyce Hall, Carrickmines Wood, Brennanstown Road, Carrickmines, Dublin 18",2190,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Joyce-Hall-Carrickmines-Wood-Brennanstown-Road-Carrickmines-Dublin-18/5483009/
"Joyce Hall, Carrickmines Wood, Brennanstown Road, Carrickmines, Dublin 18",2190,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Joyce-Hall-Carrickmines-Wood-Brennanstown-Road-Carrickmines-Dublin-18/5483005/
"13 lower Camden Street, Dublin 2",1140,studio apartment to rent,https://www.rent.ie/houses-to-let/13-lower-Camden-Street-Dublin-2/5482975/
"Belgrove Park, Mount Prospect Lawns, Clontarf, Dublin 3",2500,"3 bedrooms (3 double), 3 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Belgrove-Park-Mount-Prospect-Lawns-Clontarf-Dublin-3/5482967/
"Apartment 62, Belfield Park, Booterstown, Co. Dublin",1950,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Apartment-62-Belfield-Park-Booterstown-Co-Dublin/5482969/
"The Baskin, Kinsealy, Co. Dublin",3100,"4 bedrooms (4 double), 5 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/The-Baskin-Kinsealy-Co-Dublin/5482994/
"Grove Park, Rathmines, Dublin 6, Rathmines, Dublin 6",750,"1 bedroom (1 single), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Grove-Park-Rathmines-Dublin-6-Rathmines-Dublin-6/5482970/
"7 Station Hill, Clongriffin, Dublin 13",1390,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/7-Station-Hill-Clongriffin-Dublin-13/5482946/
"20 Waterside Drive, Malahide, Co. Dublin",1700,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/20-Waterside-Drive-Malahide-Co-Dublin/5482939/
"109 Park Drive Ave, Castleknock, Dublin 15",1800,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/109-Park-Drive-Ave-Castleknock-Dublin-15/5482956/
"13 Howard Street, Ringsend, Dublin 4",1840,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/13-Howard-Street-Ringsend-Dublin-4/5482953/
"Nethercross Court, Swords, Co. Dublin",1500,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Nethercross-Court-Swords-Co-Dublin/5482950/
"Apartment 31, Boyd House, Howth, Dublin 13",2400,"2 bedrooms (2 double), 2 bathrooms, unfurnished",https://www.rent.ie/houses-to-let/Apartment-31-Boyd-House-Howth-Dublin-13/5482934/
"James Plunkett House, Inchicore, Dublin 8",1799,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/James-Plunkett-House-Inchicore-Dublin-8/5482920/
"Boroimhe Alder, Swords, Co. Dublin",1630,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Boroimhe-Alder-Swords-Co-Dublin/5481527/
"Church Street, Finglas, Dublin 11",1078,studio apartment to rent,https://www.rent.ie/houses-to-let/Church-Street-Finglas-Dublin-11/5481521/
"Orwell Gate, Marianella, Rathgar, Dublin 6",3250,"2 bedrooms, 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Orwell-Gate-Marianella-Rathgar-Dublin-6/5478111/
"Pimlico, Dublin 8",2800,"4 bedrooms (1 single, 3 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Pimlico-Dublin-8/5481512/
"Kinahan Street, Off Infirmary Road, Arbour Hill, Dublin 7",1700,"2 bedrooms (2 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Kinahan-Street-Off-Infirmary-Road-Arbour-Hill-Dublin-7/5481504/
"Camden Court, Camden Street, Dublin 2",1500,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Camden-Court-Camden-Street-Dublin-2/5481501/
"Park Avenue, Millars Glen, Swords, Co. Dublin",2000,"3 bedrooms (3 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Park-Avenue-Millars-Glen-Swords-Co-Dublin/5481500/
"Botanic Rd, Phibsborough, Dublin 7",1100,studio apartment to rent,https://www.rent.ie/houses-to-let/Botanic-Rd-Phibsborough-Dublin-7/5479769/
"Grand Canal Wharf, South Dock Street, Grand Canal Dock, Dublin 2",2200,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Grand-Canal-Wharf-South-Dock-Street-Grand-Canal-Dock-Dublin-2/5481493/
"Dundrum Gate, Dundrum, Dublin 14",1800,"2 bedrooms (2 double), 2 bathrooms, furnished",https://www.rent.ie/houses-to-let/Dundrum-Gate-Dundrum-Dublin-14/5479775/
"11 Gardiner Place, Dublin 1",1750,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/11-Gardiner-Place-Dublin-1/5479771/
"Hollybrook Court, Hollybrook Road, Clontarf, Dublin 3",1600,"1 bedroom (1 double), 1 bathroom, furnished",https://www.rent.ie/houses-to-let/Hollybrook-Court-Hollybrook-Road-Clontarf-Dublin-3/5479768/
"Cedar Walk, Raheny, Dublin 5",2300,"4 bedrooms (4 double), 3 bathrooms, furnished",https://www.rent.ie/houses-to-let/Cedar-Walk-Raheny-Dublin-5/5479759/
