Address,Prices,Capacity,Link
"The Northumberlands, Lower Mount Street, South City Centre, Dublin 2","€1,900 per month","2 beds, 1 bath, 55m 2, , Apartment",https://www.myhome.ie/rentals/brochure/the-northumberlands-lower-mount-street-south-city-centre-dublin-2/4462898
"Quayside Quarter @ Dublin Landings, Dublin 1. D01XR83, Docklands, Dublin 1","€2,325 per month","1 bed, 1 bath, 55m 2, , Apartment",https://www.myhome.ie/rentals/brochure/quayside-quarter-dublin-landings-dublin-1-d01xr83-docklands-dublin-1/4507321
"Fieldview Cottages Annaville Avenue, Blackrock, Co. Dublin","€2,450 per month","4 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/fieldview-cottages-annaville-avenue-blackrock-co-dublin/4512098
"Lansdowne Wood, Ballsbridge, Dublin 4","€4,500 per month","3 beds, 3 baths, , Apartment",https://www.myhome.ie/rentals/brochure/lansdowne-wood-ballsbridge-dublin-4/4512086
"43 Pembroke Road, Ballsbridge, Dublin 4","€1,950 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/43-pembroke-road-ballsbridge-dublin-4/4512083
"10 Mobhi Court, Glasnevin, Dublin 11, Glasnevin, Dublin 11","€1,685 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/10-mobhi-court-glasnevin-dublin-11-glasnevin-dublin-11/4512039
"5 Skipton, Honeypark, Dun Laoghaire, County Dublin","€3,650 per month","5 beds, 2 baths, 190m 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/5-skipton-honeypark-dun-laoghaire-county-dublin/4512034
"12 Castlebrook, Dundrum, Dublin 16","€2,956 per month","4 beds, 3 baths, , Semi-Detached",https://www.myhome.ie/rentals/brochure/12-castlebrook-dundrum-dublin-16/4512029
"Apt. 2, 191 Clonliffe Road, Drumcondra, Dublin 3, Drumcondra, Dublin 3","€1,364 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/apt-2-191-clonliffe-road-drumcondra-dublin-3-drumcondra-dublin-3/4512020
"Bolton Sqare, Dominick Street Lwr, North City Centre,   Dublin 1","€1,250 per month per ft²","1 bed, 1 bath, 35m 2, Apartment",https://www.myhome.ie/rentals/brochure/bolton-sqare-dominick-street-lwr-north-city-centre-dublin-1/4512012
"Student Accommodation at The Loom, Cork St, The Liberties, Dublin 8, Dublin, D08 P772",€240 to €270 per week,"1 bed, Apartment",https://www.myhome.ie/rentals/brochure/student-accommodation-at-the-loom-cork-st-the-liberties-dublin-8-dublin-d08-p772/4491787
"Student Accommodation at Beckett House, Gardiner St, Dublin 1, Dublin",€240 to €295 per week,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/student-accommodation-at-beckett-house-gardiner-st-dublin-1-dublin/4425487
"Student Accommodation at Binary Hub, Bonham Street, Dublin 8, Dublin",€235 to €270 per week,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/student-accommodation-at-binary-hub-bonham-street-dublin-8-dublin/4425439
"Student Accommodation at 107 Dorset Street Upper, Dorset Street, Dublin 1",€210 to €310 per week,"1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/student-accommodation-at-107-dorset-street-upper-dorset-street-dublin-1/4425430
"Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin, D02P524","€3,150 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-grand-canal-dock-dublin-2-south-dublin-city-dublin-2-dublin-d02p5/4469926
"Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin, D02P524","€4,185 per month","3 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-grand-canal-dock-dublin-2-south-dublin-city-dublin-2-dublin-d02p5/4478951
"Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin","€4,000 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-grand-canal-dock-dublin-2-south-dublin-city-dublin-2-dublin/4478956
"Apt 2 35  Wexford street, Dublin 2, Dublin","€2,490 per month","3 beds, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/apt-2-35-wexford-street-dublin-2-dublin/3814081
"Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin","€4,200 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-grand-canal-dock-dublin-2-south-dublin-city-dublin-2-dublin/4478961
"Clancy Quay, South Circular Road, Islandbridge, Dublin 8, Dublin 8, Dublin","€1,700 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/clancy-quay-south-circular-road-islandbridge-dublin-8-dublin-8-dublin/4478991
"Clancy Quay, South Circular Road, Islandbridge, Dublin 8, Dublin 8, Dublin","€2,150 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/clancy-quay-south-circular-road-islandbridge-dublin-8-dublin-8-dublin/4479001
"Clancy Quay, South Circular Road, Islandbridge, Dublin 8, Dublin 8, Dublin","€3,500 per month","4 beds, 4 baths, House",https://www.myhome.ie/rentals/brochure/clancy-quay-south-circular-road-islandbridge-dublin-8-dublin-8-dublin/4479003
"109 A Hampton Lodge Drumcondra, Dublin 9, Dublin, D09KC43","€1,778 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/109-a-hampton-lodge-drumcondra-dublin-9-dublin-d09kc43/4124440
"Clancy Quay, South Circular Road, Islandbridge, Dublin 8, Dublin 8, Dublin","€1,850 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/clancy-quay-south-circular-road-islandbridge-dublin-8-dublin-8-dublin/4479010
"Sandford Lodge, Ranelagh, Dublin 6, Dublin 6, Dublin","€2,000 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/sandford-lodge-ranelagh-dublin-6-dublin-6-dublin/4479220
"Sandford Lodge, Ranelagh, Dublin 6, Dublin 6, Dublin, D06W224","€2,450 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/sandford-lodge-ranelagh-dublin-6-dublin-6-dublin-d06w224/4479222
"The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin 4, Dublin","€2,700 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-alliance-the-gasworks-barrow-street-dublin-4-dublin-4-dublin/4479237
"Alto Vetro, Grand Canal Square, Dublin 2, Dublin 2, Dublin","€2,900 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/alto-vetro-grand-canal-square-dublin-2-dublin-2-dublin/4481353
"Alto Vetro, Grand Canal Square, Dublin 2, Dublin 2, Dublin","€2,850 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/alto-vetro-grand-canal-square-dublin-2-dublin-2-dublin/4481354
"Vantage Phase 1, Central Park, Leopardstown, Dublin 18, Dublin 18, Dublin","€1,900 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/vantage-phase-1-central-park-leopardstown-dublin-18-dublin-18-dublin/4481358
"Vantage Phase 1, Central Park, Leopardstown, Dublin 18, Dublin 18, Dublin","€2,650 per month","3 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/vantage-phase-1-central-park-leopardstown-dublin-18-dublin-18-dublin/4481362
"Suite 6 Velindre Ballydowd, Lucan, Dublin, K78K7K2","€1,050 per month","1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/suite-6-velindre-ballydowd-lucan-dublin-k78k7k2/4503778
"Vantage Phase 2, Central Park, Leopardstown, Dublin 18, Dublin 18, Dublin","€2,000 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/vantage-phase-2-central-park-leopardstown-dublin-18-dublin-18-dublin/4481368
"The Grange, Brewery Road, Stillorgan, Co. Dublin, Dublin South County, Dublin","€1,950 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/the-grange-brewery-road-stillorgan-co-dublin-dublin-south-county-dublin/4481371
"The Grange, Brewery Road, Stillorgan, Co. Dublin, Dublin South County, Dublin","€2,600 per month","3 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/the-grange-brewery-road-stillorgan-co-dublin-dublin-south-county-dublin/4481377
"Liffey Trust by Kennedy Wilson, The Point Village, Dublin 1, Dublin 1, Dublin","€2,200 per month","2 beds, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/liffey-trust-by-kennedy-wilson-the-point-village-dublin-1-dublin-1-dublin/4481381
"Northbank Apartments, Castleforbes Road, Dublin 1, Dublin 1, Dublin","€2,150 per month","2 beds, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/northbank-apartments-castleforbes-road-dublin-1-dublin-1-dublin/4481388
"Northbank Apartments, Castleforbes Road, Dublin 1, Dublin 1, Dublin","€1,800 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/northbank-apartments-castleforbes-road-dublin-1-dublin-1-dublin/4481392
"Clancy Quay, South Circular Road, Dublin 8, Dublin","€2,100 per month","2 beds, Apartment",https://www.myhome.ie/rentals/brochure/clancy-quay-south-circular-road-dublin-8-dublin/4481825
"Sandford Lodge, Dublin 6, Dublin","€2,450 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/sandford-lodge-dublin-6-dublin/4481860
"Vantage Phase 1, Central Park, Dublin 18, Dublin","€2,050 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/vantage-phase-1-central-park-dublin-18-dublin/4481868
"The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin","€2,700 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-alliance-the-gasworks-barrow-street-dublin-4-dublin/4481886
"The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin 4, Dublin","€2,250 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-alliance-the-gasworks-barrow-street-dublin-4-dublin-4-dublin/4481891
"The Alliance, The Gasworks, Barrow Street, Dublin 4, Dublin","€2,450 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-alliance-the-gasworks-barrow-street-dublin-4-dublin/4481895
"The Grange, Brewery Road, Stillorgan, Dublin","€2,900 per month","3 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/the-grange-brewery-road-stillorgan-dublin/4481907
"North Bank Apartments, Castleforbes Road, Dublin 1, Dublin","€2,150 per month","2 beds, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/north-bank-apartments-castleforbes-road-dublin-1-dublin/4481919
"Capital Dock Residence, Grand Canal, Grand Canal Dock, Dublin 2, South Dublin City, Dublin 2, Dublin","€15,000 per month","2 beds, 3 baths, Penthouse",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-grand-canal-dock-dublin-2-south-dublin-city-dublin-2-dublin/4483293
"Capital Dock Residence, Grand Canal Dk, Dublin 2, D02P524","€2,650 per month","1 bed, 1 bath, 600ft 2, , Apartment",https://www.myhome.ie/rentals/brochure/capital-dock-residence-grand-canal-dk-dublin-2-d02p524/4507352
"The Kish, Custom House Harbour Apartments, Dublin 1, Dublin","€1,900 per month","2 beds, Apartment",https://www.myhome.ie/rentals/brochure/the-kish-custom-house-harbour-apartments-dublin-1-dublin/4511994
"Seabury, Sydney Parade Avenue, Sandymount, Dublin 4","€2,100 per month","2 beds, 2 baths, 83m 2, , Apartment",https://www.myhome.ie/rentals/brochure/seabury-sydney-parade-avenue-sandymount-dublin-4/4510567
"Hanover Riverside, Grand Canal Dk, Dublin 2","€2,500 per month","2 beds, 2 baths, 80m 2, , Apartment",https://www.myhome.ie/rentals/brochure/hanover-riverside-grand-canal-dk-dublin-2/4510549
"Longboat Quay North, Grand Canal Dk, Dublin 2","€2,000 per month","2 beds, 2 baths, 60m 2, , Apartment",https://www.myhome.ie/rentals/brochure/longboat-quay-north-grand-canal-dk-dublin-2/4502941
"Fishermans Wharf, Ringsend, Dublin 4","€1,700 per month","2 beds, 1 bath, 60m 2, , Apartment",https://www.myhome.ie/rentals/brochure/fishermans-wharf-ringsend-dublin-4/4509804
"Aston Building, Aston Quay, South City Centre, Dublin 2","€1,850 per month","1 bed, 1 bath, 68m 2, , Apartment",https://www.myhome.ie/rentals/brochure/aston-building-aston-quay-south-city-centre-dublin-2/4496720
"Quayside Quarter @ Dublin Landings, North Wall, Dublin 1","€2,550 per month","2 beds, 2 baths, 83m 2, , Apartment",https://www.myhome.ie/rentals/brochure/quayside-quarter-dublin-landings-north-wall-dublin-1/4472653
"Forbes Quay, Grand Canal Dk, Dublin 2","€3,600 per month","3 beds, 2 baths, 92m 2, , Apartment",https://www.myhome.ie/rentals/brochure/forbes-quay-grand-canal-dk-dublin-2/4491344
"Baltrasna House, Spencer Dock, IFSC, Dublin 1","€1,600 per month","1 bed, 1 bath, 45m 2, , Apartment",https://www.myhome.ie/rentals/brochure/baltrasna-house-spencer-dock-ifsc-dublin-1/4496641
"Quayside Quarter At Dublin Landings, North Wall, Dublin 1","€3,575 per month","2 beds, 2 baths, 90m 2, , Apartment",https://www.myhome.ie/rentals/brochure/quayside-quarter-at-dublin-landings-north-wall-dublin-1/4417928
"Thornfield Square, Clondalkin, Dublin 22","€2,150 per month","3 beds, 3 baths, , Apartment",https://www.myhome.ie/rentals/brochure/thornfield-square-clondalkin-dublin-22/4511981
"Shandon Mill, Phibsborough, Dublin 7, Phibsboro,   Dublin 7","€1,870 per month per ft²","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/shandon-mill-phibsborough-dublin-7-phibsboro-dublin-7/4507499
"The Old Coach House, Aylesbury Grove, Dundrum, Dublin 16","€2,000 per month","2 beds, 2 baths, 92m 2, , Semi-Detached",https://www.myhome.ie/rentals/brochure/the-old-coach-house-aylesbury-grove-dundrum-dublin-16/4467035
"54 Belarmine Place, Stepaside, Dublin 18","€2,200 per month","3 beds, 2 baths, 124m 2, , House",https://www.myhome.ie/rentals/brochure/54-belarmine-place-stepaside-dublin-18/4509168
"28 The Court, Drumcondra,   Dublin 9","€1,719 per month","2 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/28-the-court-drumcondra-dublin-9/4511958
"Lime Court, 78 Francis Street, Christchurch, South City Centre - D8,   Dublin South","€2,300 per month per ft²","1 bed, 1 bath, 44m 2, Apartment",https://www.myhome.ie/rentals/brochure/lime-court-78-francis-street-christchurch-south-city-centre-d8-dublin-south/4466045
"Hartley House, Suite 2, 44-46 Merrion Road,, Ballsbridge, Dublin 4","€1,875 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/hartley-house-suite-2-44-46-merrion-road-ballsbridge-dublin-4/4511956
"28 The Anchorage, The Crescent, Robswall, Malahide, Dublin, K36VY88","€2,800 per month","3 beds, 2 baths, 1312ft 2, , Apartment",https://www.myhome.ie/rentals/brochure/28-the-anchorage-the-crescent-robswall-malahide-dublin-k36vy88/4507598
"104 Galtrim Grange, Malahide, Dublin","€1,700 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/104-galtrim-grange-malahide-dublin/4510970
"18 Broomfield Mews, Malahide , Malahide, Dublin","€1,800 per month","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/18-broomfield-mews-malahide-malahide-dublin/4511703
"The Locks, Charlotte Quay Dock, Grand Canal Dk,   Dublin 4","€3,200 per month","3 beds, 2 baths, 1000ft 2, Apartment",https://www.myhome.ie/rentals/brochure/the-locks-charlotte-quay-dock-grand-canal-dk-dublin-4/4492814
"59 Bolton Sq Domnick Street Dublin 1, Parnell Square,   Dublin 1","€1,400 per month per ft²","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/59-bolton-sq-domnick-street-dublin-1-parnell-square-dublin-1/4503001
"Rialto Court, Rialto, Dublin 8","€1,078 per month","1 bed, 1 bath, 29.25m 2, , Apartment",https://www.myhome.ie/rentals/brochure/rialto-court-rialto-dublin-8/4434312
"The Friary, Cecilia Street, Dublin 1, Dublin","€2,600 per month","3 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-friary-cecilia-street-dublin-1-dublin/4409259
"9 Watermill Grove, Oldbawn,   Dublin 24",€700 per month per ft²,"1 bed, 1 bath, 15m 2, , Studio",https://www.myhome.ie/rentals/brochure/9-watermill-grove-oldbawn-dublin-24/4502776
"Time Place, Corrig Road, Sandyford, Dublin 18, D18 DY60","€1,670 per month","1 bed, 1 bath, 45m 2, , Apartment",https://www.myhome.ie/rentals/brochure/time-place-corrig-road-sandyford-dublin-18-d18-dy60/4502567
"15 The Hedgerows, Foxrock, Dublin 18, Dublin","€2,300 per month","2 beds, 2 baths, 94m 2, , Terraced House",https://www.myhome.ie/rentals/brochure/15-the-hedgerows-foxrock-dublin-18-dublin/4508859
"Adelaide Square, South City Centre - D8, Dublin 8, D08YOA5","€2,400 per month","2 beds, 2 baths, 75m 2, , Apartment",https://www.myhome.ie/rentals/brochure/adelaide-square-south-city-centre-d8-dublin-8-d08yoa5/4504687
"Cherrywood Drive, Clondalkin, Dublin 22","€1,000 per month","1 bed, 1 bath, Apartment",https://www.myhome.ie/rentals/brochure/cherrywood-drive-clondalkin-dublin-22/4317557
"Thornfield Square, Clondalkin, Dublin 22","€1,500 per month","2 beds, 2 baths",https://www.myhome.ie/rentals/brochure/thornfield-square-clondalkin-dublin-22/4502269
"Richmond, North City Centre, Dublin 7","€1,800 per month","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/richmond-north-city-centre-dublin-7/4506233
"Tramway Court, Tallaght, Dublin 24","€1,700 per month","2 beds, 2 baths, Apartment",https://www.myhome.ie/rentals/brochure/tramway-court-tallaght-dublin-24/4510576
"125 Shangan Road, Ballymun,   Dublin 9, D09 A0X8","€1,700 per month per ft²","2 beds, 2 baths, 70m 2, Apartment",https://www.myhome.ie/rentals/brochure/125-shangan-road-ballymun-dublin-9-d09-a0x8/4510021
"3 Baltrasna House, IFSC,   Dublin 1","€1,700 per month per ft²","1 bed, 2 baths, 55m 2, , Studio",https://www.myhome.ie/rentals/brochure/3-baltrasna-house-ifsc-dublin-1/4502435
"135 Cromwellsofort Road Walkinstown Dublin 12 , Walkinstown,   Dublin 12","€1,200 per month per ft²","1 bed, 1 bath, 27.5m 2, Apartment",https://www.myhome.ie/rentals/brochure/135-cromwellsofort-road-walkinstown-dublin-12-walkinstown-dublin-12/4510033
"Hartley House, Suite 7, 44-46 Merrion Road, Ballsbridge, Dublin 4","€2,250 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/hartley-house-suite-7-44-46-merrion-road-ballsbridge-dublin-4/4482131
"St Patricks Court, Clanbrassil Street, Dublin 8, Dublin","€1,750 per month","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/st-patricks-court-clanbrassil-street-dublin-8-dublin/4493452
"The Hibernian, The Gasworks, South Lotts Road, Dublin 4, Dublin","€2,136 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/the-hibernian-the-gasworks-south-lotts-road-dublin-4-dublin/4495148
"Apt 3, 5 Waterloo Road, Ballsbridge, Dublin 4, D04V383","€1,500 per month","1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/apt-3-5-waterloo-road-ballsbridge-dublin-4-d04v383/4500578
"Dunloe Hall, 27 Merrion Street Upper, Dublin 2, Dublin, D02CF82","€2,250 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/dunloe-hall-27-merrion-street-upper-dublin-2-dublin-d02cf82/4507044
"Home Villas, Donnybrook, Dublin 4","€2,400 per month","2 beds, 1 bath, , Terraced House",https://www.myhome.ie/rentals/brochure/home-villas-donnybrook-dublin-4/4508864
"Grianan Fidh, Aikens Village, Sandyford, Dublin 18, D18TP22","€1,950 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/grianan-fidh-aikens-village-sandyford-dublin-18-d18tp22/4507139
"El Pinar, Kilgobbin Road, Sandyford, Dublin 18","€2,300 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/el-pinar-kilgobbin-road-sandyford-dublin-18/4510095
"The Millhouse, The Steelworks, Foley Street, Dublin 1, Dublin","€2,300 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/the-millhouse-the-steelworks-foley-street-dublin-1-dublin/4510615
"Semple Court, 103/104 Capel Street, Dublin 1, Dublin","€2,088 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/semple-court-103-104-capel-street-dublin-1-dublin/4510723
"Derrylavin, 60 North Circular Road, Dublin 7, Dublin","€1,250 per month","1 bed, 1 bath, , Studio",https://www.myhome.ie/rentals/brochure/derrylavin-60-north-circular-road-dublin-7-dublin/4510969
"Derrylavin, 60 North Circular Road, Dublin 7, Dublin","€1,350 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/derrylavin-60-north-circular-road-dublin-7-dublin/4510979
"Crosbies Yard, Ossory Road, Dublin 3, Dublin","€2,100 per month","2 beds, 2 baths, , Apartment",https://www.myhome.ie/rentals/brochure/crosbies-yard-ossory-road-dublin-3-dublin/4511407
"Grand Canal Wharf, South Dock Road, Dublin 4, Dublin","€1,700 per month","1 bed, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/grand-canal-wharf-south-dock-road-dublin-4-dublin/4511741
"APARTMENT 92, BLOCK C, SEVEN OAKS, Ballyfermot,   Dublin 10, D10V658","€1,200 per month per ft²","1 bed, 1 bath, 42m 2, , Apartment",https://www.myhome.ie/rentals/brochure/apartment-92-block-c-seven-oaks-ballyfermot-dublin-10-d10v658/4503348
"14  Richmond Hill, Rathmines, Dublin","€1,500 per month per ft²","2 beds, 1 bath, 4m 2, , Apartment",https://www.myhome.ie/rentals/brochure/14-richmond-hill-rathmines-dublin/4495728
"Mews 28, Palmerston Road, Rathmines Dublin 6., Rathmines,   Dublin 6","€2,500 per month per ft²","2 beds, 1 bath, 1000ft 2, Semi-Detached",https://www.myhome.ie/rentals/brochure/mews-28-palmerston-road-rathmines-dublin-6-rathmines-dublin-6/4466497
"54 sweetman house, Baldoyle,   Dublin 13, D13VF59","€1,900 per week per ft²","2 beds, 2 baths, 68m 2, , Apartment",https://www.myhome.ie/rentals/brochure/54-sweetman-house-baldoyle-dublin-13-d13vf59/4510055
"49 Herberton Drive , Crumlin,   Dublin 12","€1,500 per month per ft²","1 bed, 1 bath, 55m 2, , Bungalow",https://www.myhome.ie/rentals/brochure/49-herberton-drive-crumlin-dublin-12/4507818
"48 Beresford House, Major Square , Dublin1, IFSC,   Dublin 1, DO1 R9K6","€2,400 per month per ft²","2 beds, 1 bath, , Apartment",https://www.myhome.ie/rentals/brochure/48-beresford-house-major-square-dublin1-ifsc-dublin-1-do1-r9k6/4511582
